,Agebins,Cause of Death,count
92,65,COPD,0.11372752565634052
93,65,Car Accident,0.0
94,65,Covid-19,0.2900034730040722
95,65,Dementia,0.02904729010270169
96,65,Drug Overdose,0.008381007629159495
97,65,Heart Attack,0.09132474114670198
98,65,Heart Disease,0.18700791157960622
99,65,Heart Failure,0.03353929646860366
100,65,Lung Cancer/Tumor,0.16887577713236726
101,65,Shot,0.0009541219978551337
102,65,Stroke,0.03623373699054656
103,65,Suicide,0.0021334167872040792
104,75,Alzheimer's,0.11039886239261451
105,75,COPD,0.10436372084951055
106,75,Car Accident,0.0
107,75,Covid-19,0.2699970048230746
108,75,Dementia,0.08014757544626737
109,75,Drug Overdose,0.000817375385244135
110,75,Heart Attack,0.06803530389848869
111,75,Heart Disease,0.17150327090115636
112,75,Heart Failure,0.046822733112940565
113,75,Lung Cancer/Tumor,0.10368630700283563
114,75,Shot,0.0003275100002519308
115,75,Stroke,0.04327610772559701
116,75,Suicide,0.0006242284620186373
117,85,Alzheimer's,0.16743011199366567
118,85,COPD,0.06867383552516024
119,85,Car Accident,0.0
120,85,Covid-19,0.2288021947078323
121,85,Dementia,0.1435899866455151
122,85,Drug Overdose,0.000295527223354457
123,85,Heart Attack,0.052503478020859765
124,85,Heart Disease,0.18358931752727353
125,85,Heart Failure,0.06961617704868672
126,85,Lung Cancer/Tumor,0.03660076781318219
127,85,Shot,7.806379484834714e-05
128,85,Stroke,0.04853616444695983
129,85,Suicide,0.000284375252661836
130,95,Alzheimer's,0.18435870698644422
131,95,COPD,0.04564650677789364
132,95,Car Accident,0.0
133,95,Covid-19,0.1963242961418144
134,95,Dementia,0.18373305526590197
135,95,Drug Overdose,9.124087591240875e-05
136,95,Heart Attack,0.04550312825860271
137,95,Heart Disease,0.2022679874869656
138,95,Heart Failure,0.08420229405630865
139,95,Lung Cancer/Tumor,0.012122002085505736
140,95,Shot,2.6068821689259645e-05
141,95,Stroke,0.04564650677789364
142,95,Suicide,7.820646506777894e-05
143,105,Alzheimer's,0.15974842767295597
144,105,COPD,0.03647798742138365
145,105,Car Accident,0.0
146,105,Covid-19,0.17358490566037735
147,105,Dementia,0.2238993710691824
148,105,Drug Overdose,0.0
149,105,Heart Attack,0.04905660377358491
150,105,Heart Disease,0.23773584905660378
151,105,Heart Failure,0.0830188679245283
152,105,Lung Cancer/Tumor,0.006289308176100629
153,105,Shot,0.0
154,105,Stroke,0.03018867924528302
155,105,Suicide,0.0
